record_id,phytoplasma,host_group,country,reference,family,species
479,tested negative,insect,California,Blomquist & Kirkpatrick 2002,Cicadellidae,Macrosteles sp.
480,16SrIII ,insect,Israel,Klein et al 2001,Cicadellidae,Macrosteles quadripunctulatus
481,16SrIII ,insect,Israel,Klein et al 2001,Cicadellidae,Orosius orientalis
482,16SrIII ,insect,Israel,Klein et al 2001,Cicadellidae,Neoaliturus sp.
483,16SrIII ,insect,Israel,Klein et al 2001,Cixiidae,Hyalesthes obsoletus
484,16SrVI ,insect,Israel,Raccah & Klein 1982,Cicadellidae,Neoaliturus fenestratus
485,16SrII D,insect,Turkey,Kersting 1993,Cicadellidae,Neoaliturus haematoceps
486,16SrII ,insect,Iran,Salehi & Izadpanah 1992,Cicadellidae,Neoaliturus haematoceps
487,16SrII D,insect,Lachlan,Pilkington et al 2004,Cicadellidae,Austroagallia torrida
488,16SrII ,insect,Lachlan,Pilkington et al 2004,Cicadellidae,Batracomorphus angustatus
489,16SrII D,insect,Lachlan,Pilkington et al 2004,Cicadellidae,Orosius argentatus
490,16SrVI A,insect,Oregon,Munyaneza et al 2006,Cicadellidae,Neoaliturus tenellus
491,16SrI B,insect,Italy,Parrella et al 2008,Cicadellidae,Empoasca decipiens
492,tested negative,insect,Italy,Parrella et al 2008,Cicadellidae,Eupteryx zelleri
493,tested negative,insect,Italy,Parrella et al 2008,Cicadellidae,Zygina sp.
494,16SrVI A,insect,Hatay,Sertkaya et al 2007,Cicadellidae,Orosius orientalis
495,tested negative,insect,Hatay,Sertkaya et al 2007,Cicadellidae,Empoasca sp.
496,tested negative,insect,Sardegna,Tolu et al 2006,Cicadellidae,Anaceratagallia ribauti
497,tested negative,insect,Sardegna,Tolu et al 2006,Cicadellidae,Euscelis lineolata
498,tested negative,insect,Sardegna,Tolu et al 2006,Delphacidae,Laodelphax striatella
499,tested negative,insect,Sardegna,Tolu et al 2006,Cicadellidae,Psammotettix striatus
500,16SrIX B,insect,Puerto Rico,Caicedo et al 2015,Cicadellidae,Empoasca kraemeri
501,16SrIX B,insect,Puerto Rico,Caicedo et al 2015,Flatidae,Melormenis antillarum
502,16SrIX B,insect,Puerto Rico,Caicedo et al 2015,Nogodinidae,Colpoptera maculifrons
503,tested negative,insect,Puerto Rico,Caicedo et al 2015,Flatidae,Flatormenis sp.
504,tested negative,insect,Puerto Rico,Caicedo et al 2015,Cixiidae,Melanoliarus complectus
505,tested negative,insect,Puerto Rico,Caicedo et al 2015,Liviidae,Diaphorina citri
506,tested negative,insect,Puerto Rico,Caicedo et al 2015,Cicadellidae,Agallia constricta
507,tested negative,insect,Puerto Rico,Caicedo et al 2015,Cixiidae,Bothriocera undata
508,tested negative,insect,Puerto Rico,Caicedo et al 2015,Derbidae,Omolicna puertana
509,16SrX B,insect,Campania,Pastore et al 2004,Cicadellidae,Asymmetrasca decedens
510,16SrI B,insect,Campania,Pastore et al 2004,Cicadellidae,Asymmetrasca decedens
511,16SrVII ,insect,Campania,Pastore et al 2004,Cicadellidae,Asymmetrasca decedens
512,16SrIX ,insect,Campania,Pastore et al 2004,Cicadellidae,Asymmetrasca decedens
513,16SrXII A,insect,Campania,Pastore et al 2004,Cicadellidae,Asymmetrasca decedens
514,16SrV D,insect,Austria,Reisenzein & Strauß 2013,Cicadellidae,Orientus ishidae
