record_id,phytoplasma,host_group,country,reference,family,species
662,16SrXII A,insect,Austria,Rieddle-Bauer et al 2006,Cicadellidae,Psammotettix 
663,16SrXII A,insect,Austria,Rieddle-Bauer et al 2006,Cixiidae,Hyalesthes obsoletus
664,tested negative,insect,Austria,Rieddle-Bauer et al 2006,Cixiidae,Pentastiridius sp.
665,16SrXII A,insect,Austria,Rieddle-Bauer et al 2006,Cixiidae,Reptalus panzeri
666,tested negative,insect,Austria,Rieddle-Bauer et al 2006,Delphacidae,Laodelphax striatella
667,16SrIII A,insect,United States,Gilmer & Blodgett 1976,Cicadellidae,Graphocephala confluens
668,16SrIX E,insect,Sicily,Rizza et al 2016,Cicadellidae,Osbornellus horvathi
669,16SrI B,insect,Sicily,Rizza et al 2016,Cicadellidae,Osbornellus horvathi
670,16SrIV ,insect,Jamaica,Ghauri 1980,Cicadellidae,Osbornellus dabeki
671,16SrI A,insect,Canada,Olivier et al 2009,Cicadellidae,Paraphlepsius irroratus
672,16SrI B,insect,Canada,Olivier et al 2009,Cicadellidae,Paraphlepsius irroratus
673,16SrIII A,insect,Canada,Chiykowski & Sinha 1982,Cicadellidae,Paraphlepsius irroratus
674,16SrIII ,insect,Canada,Rosenberger & Jones 1978,Cicadellidae,Scaphoideus carinatus
675,tested negative,insect,Canada,Rosenberger & Jones 1978,Cicadellidae,Osbornellus auronitens
676,tested negative,insect,Canada,Rosenberger & Jones 1978,Cicadellidae,Norvellina seminuda
677,tested negative,insect,Canada,Rosenberger & Jones 1978,Cicadellidae,Texananus majestus
678,tested negative,insect,Canada,Rosenberger & Jones 1978,Cicadellidae,Prescottia lobata
679,16SrIII ,insect,Canada,Rosenberger & Jones 1978,Cicadellidae,Scaphytopius acutus
680,16SrIII ,insect,Canada,Rosenberger & Jones 1978,Cicadellidae,Orientus ishidae
681,tested negative,insect,Canada,Rosenberger & Jones 1978,Cicadellidae,Gyponana sp.
682,16SrI B,insect,Canada,Olivier et al 2009,Cicadellidae,Tylozygus bifidus
683,tested negative,insect,India,Nabi et al 2015b,Cicadellidae,Empoascanara prima
684,tested negative,insect,India,Nabi et al 2015b,Cicadellidae,Cofana unimaculata
685,tested negative,insect,India,Nabi et al 2015b,Cicadellidae,Exitianus indicus
686,16SrI B,insect,India,Nabi et al 2015b,Cicadellidae,Hishimonus phycitis
687,16SrII D,insect,Pakistan,Akhtar et al 2009,Cicadellidae,Orosius orientalis
688,tested negative,insect,Pakistan,Akhtar et al 2009,Cicadellidae,Empoasca sp.
689,tested negative,insect,Pakistan,Akhtar et al 2009,Cicadellidae,Neoaliturus sp.
690,16SrII D,insect,Turkey,Cengiz et al 2014,Cicadellidae,Orosius orientalis
691,16SrI ,insect,Japan,Tanaka et al 2000,Cicadellidae,Hishimonus sellatus
692,tested negative,insect,Japan,Tanaka et al 2000,Cicadellidae,Hishimonus sellatus
693,16SrV A,insect,Chile,Arismendi et al 2014,Cicadellidae,Amplicephalus curtulus
694,16SrV ,insect,Israel,Weintraub & Orenstein 2004,Cicadellidae,Neoaliturus haematoceps
695,16SrV ,insect,Israel,Weintraub & Orenstein 2004,Cicadellidae,Neoaliturus fenestratus
696,16SrV ,insect,Israel,Weintraub & Orenstein 2004,Cicadellidae,Batracomorphus signatus
697,16SrV ,insect,Israel,Weintraub & Orenstein 2004,Cicadellidae,Austroagallia sinuata
698,16SrIII J,insect,Chile,Quiroga et al 2015,Cicadellidae,Bergallia valdiviana
699,16SrXII A,insect,Lazio,Bagnoli et al 2005,Cicadellidae,Anoplotettix putoni
700,16SrXIV ,insect,Germany,Seemuller et al 1994,Cicadellidae,Psammotettix cephalotes
701,16SrXIV B,insect,Iran,Salehi et al 2009b,Cicadellidae,Exitianus capicola
702,16SrXIV A,insect,Iran,Salehi et al 2009b,Cicadellidae,Exitianus capicola
703,16SrIII S,insect,United States,Zhao et al 2009,Cicadellidae,Colladonus montanus
704,16SrXI C,insect,Germany,Seemuller et al 1994,Cicadellidae,Psammotettix cephalotes
705,16SrXVII A,insect,Cuba,Arocha et al 2005c,Cicadellidae,Empoasca papayae
706,16SrXII B,insect,Australia,Constable et al 2016,Cicadellidae,Orosius sp.
707,16SrXII B,insect,Australia,Constable et al 2016,Cicadellidae,Xestocephalus sp.
708,16SrXII B,insect,Australia,Constable et al 2016,Dictyopharidae,Thanatodictya 
709,16SrXII B,insect,New Zealand,Charles et al 2002,Cicadellidae,Arawa variegata
710,16SrXII B,insect,New Zealand,Charles et al 2002,Cicadellidae,Maiestas hospes
711,16SrII D,insect,Australia,Beeland 2002,Cicadellidae,Orosius orientalis
712,16SrI ,insect,Canada,Olivier et al 2014,Cicadellidae,Gyponana angulata
713,16SrI ,insect,Canada,Olivier et al 2014,Cicadellidae,Scaphoideus titanus
714,16SrI B,insect,Canada,Olivier et al 2014,Cicadellidae,Amplicephalus inimicus
715,16SrI A,insect,Canada,Olivier et al 2014,Cicadellidae,Aceratagallia humilis
716,16SrI A,insect,Canada,Olivier et al 2014,Cicadellidae,Empoasca fabae
717,16SrI A,insect,Canada,Olivier et al 2014,Cicadellidae,Erythroneura ziczac
718,16SrI A,insect,Canada,Olivier et al 2014,Cicadellidae,Macrosteles quadrilineatus
719,16SrI B,insect,Canada,Olivier et al 2014,Cicadellidae,Macrosteles quadrilineatus
720,16SrI S,insect,Canada,Olivier et al 2014,Cicadellidae,Macrosteles quadrilineatus
721,16SrI W,insect,Canada,Olivier et al 2014,Cicadellidae,Paraphlepsius irroratus
722,16SrVII A,insect,Canada,Olivier et al 2014,Cicadellidae,Scaphoideus titanus
723,16SrIX ,insect,Brazil,Marques et al 2010,Cicadellidae,Scaphytopius marginelineatus
724,16SrIII ,insect,Brazil,Barbosa 2010,Cicadellidae,Agallia albidula
725,16SrXXII A,insect,Mozambique,Bila et al 2017,Derbidae,Diostrombus mkurangai
726,16SrIV ,insect,Jamaica,Brown et al 2006,Derbidae,Cedusa sp.
727,16SrV C,insect,Germany,Maixner & Reinert 1999,Psyllidae,Psylla sp.
728,tested negative,insect,Germany,Maixner & Reinert 1999,Cicadellidae,Idiocerus stigmaticalis
729,16SrI ,insect,Golan,Tanne et al 2001,Cicadellidae,Orosius orientalis
730,16SrI ,insect,Golan,Tanne et al 2001,Cicadellidae,Anaceratagallia laevis
731,16SrVI A,insect,Kerman,Omidi et al 2010,Cicadellidae,Orosius orientalis
732,16SrXII A,insect,Auvergne,Sforza et al 1998,Cixiidae,Hyalesthes obsoletus
733,16SrXII A,insect,Auvergne,Sforza et al 1998,Cicadellidae,Mocydia crocea
734,16SrXII A,insect,Auvergne,Sforza et al 1998,Cicadellidae,Euscelis lineolata
735,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Aphrodes sp.
736,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Psammotettix 
737,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Jassargus obtusivalvis
738,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Fieberiella florii
739,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Neoaliturus fenestratus
740,tested negative,insect,Auvergne,Sforza et al 1998,Delphacidae,Asiraca clavicornis
741,tested negative,insect,Auvergne,Sforza et al 1998,Cixiidae,Hyalesthes scotti
742,tested negative,insect,Auvergne,Sforza et al 1998,Cixiidae,Hyalesthes luteipes
743,tested negative,insect,Auvergne,Sforza et al 1998,Cixiidae,Oliarus sp.
744,tested negative,insect,Auvergne,Sforza et al 1998,Dictyopharidae,Dictyophara europaea
745,tested negative,insect,Auvergne,Sforza et al 1998,Caliscelidae,Caliscelis bonelli
746,tested negative,insect,Auvergne,Sforza et al 1998,Issidae,Issus coleoptratus
747,tested negative,insect,Auvergne,Sforza et al 1998,Issidae,Hysteropterum 
748,tested negative,insect,Auvergne,Sforza et al 1998,Aphrophoridae,Aphrophora sp.
749,tested negative,insect,Auvergne,Sforza et al 1998,Cercopidae,Cercopis intermedia
750,tested negative,insect,Auvergne,Sforza et al 1998,Aphrophoridae,Philaenus spumarius
751,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Empoasca vitis
752,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Macropsis fuscula
753,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Penthimia nigra
754,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Eupelix cuspidata
755,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Austroagallia sinuata
756,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Anaceratagallia venosa
757,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Megophthalmus scabripennis
758,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Adarrus multinotatus
759,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Allygidius abbreviatus
760,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Arocephalus longiceps
761,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Phlepsius intricatus
762,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Cicadula placida
763,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Euscelidius variegatus
764,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Euscelis incisa
765,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Rhopalopyx elongata
766,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Scaphoideus titanus
767,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Goniagnathus brevis
768,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Laburrus quadratus
769,tested negative,insect,Auvergne,Sforza et al 1998,Cicadellidae,Thamnotettix dilutior
770,16SrI C,insect,Italy,Danielli et al 1996,Flatidae,Metcalfa pruinosa
771,16SrX ,insect,Italy,Danielli et al 1996,Flatidae,Metcalfa pruinosa
772,16SrXII A,insect,Veneto,Guadagnini et al 2000,Flatidae,Metcalfa pruinosa
773,16SrI B,insect,Veneto,Guadagnini et al 2000,Flatidae,Metcalfa pruinosa
774,16SrI C,insect,Veneto,Guadagnini et al 2000,Flatidae,Metcalfa pruinosa
775,16SrV D,insect,Veneto,Guadagnini et al 2000,Flatidae,Metcalfa pruinosa
776,16SrV ,insect,New York,Maixner & Pearson 1990,Cicadellidae,Scaphoideus titanus
777,16SrI ,insect,Virginia,Beanland & Wolf 2003,Cicadellidae,Agallia constricta
778,16SrI ,insect,Virginia,Beanland & Wolf 2003,Cicadellidae,Macrosteles quadrilineatus
779,16SrI ,insect,Virginia,Beanland & Wolf 2003,Cicadellidae,Tylozygus bifidus
780,16SrI ,insect,Virginia,Beanland & Wolf 2003,Cicadellidae,Paraphlepsius irroratus
781,16SrI ,insect,Virginia,Beanland & Wolf 2003,Cicadellidae,Planicephalus flavicosta
782,16SrI ,insect,Virginia,Beanland & Wolf 2003,Cicadellidae,Exitianus exitiosus
783,16SrI ,insect,Virginia,Beanland & Wolf 2003,Cicadellidae,Endria inimicus
784,16SrXII A,insect,Spain,Sabate et al 2003,Cicadellidae,Austroagallia sinuata
785,16SrXII A,insect,Spain,Sabate et al 2003,Cicadellidae,Psammotettix striatus
786,16SrXII A,insect,Spain,Sabate et al 2003,Cicadellidae,Hardya tenuis
787,16SrXII A,insect,Spain,Sabate et al 2003,Cicadellidae,Macrosteles quadripunctulatus
788,16SrXII A,insect,Spain,Sabate et al 2003,Cicadellidae,Euscelidius variegatus
789,16SrXII A,insect,Spain,Sabate et al 2003,Cicadellidae,Anaceratagallia laevis
790,16SrI ,insect,Spain,Sabate et al 2003,Cicadellidae,Adarrus taurus
791,16SrI ,insect,Spain,Sabate et al 2003,Cicadellidae,Cicadula lineatopunctata
792,16SrI ,insect,Spain,Sabate et al 2003,Cicadellidae,Hardya tenuis
793,16SrI ,insect,Spain,Sabate et al 2003,Cicadellidae,Austroagallia sinuata
794,16SrXII A,insect,Veneto,Filippin et al 2009b,Cixiidae,Reptalus sp.
795,16SrXII A,insect,Veneto,Filippin et al 2009b,Dictyopharidae,Dictyophara europaea
796,16SrI B,insect,Chile,Fiore et al 2012,Cicadellidae,Paratanus exitiosus
797,16SrI C,insect,Chile,Fiore et al 2012,Cicadellidae,Paratanus exitiosus
798,16SrIII J,insect,Chile,Fiore et al 2012,Cicadellidae,Paratanus exitiosus
799,16SrVII A,insect,Chile,Fiore et al 2012,Cicadellidae,Paratanus exitiosus
800,16SrXII A,insect,Chile,Fiore et al 2012,Cicadellidae,Paratanus exitiosus
801,16SrXII A,insect,Azerbaijan,Balakishiyeva et al 2013,Cixiidae,Setapius apiculatus
802,16SrXII ,insect,Georgia,Samudzheva 1949,Cixiidae,Hyalesthes mlokosiewiczi
803,16SrI B,insect,South Africa,Kruger et al 2011,Cicadellidae,Austroagallia sp.
804,16SrI B,insect,South Africa,Kruger et al 2011,Cicadellidae,Mgenia fuscovaria
805,16SrI B,insect,South Africa,Kruger et al 2015,Cicadellidae,Mgenia fuscovaria
806,16SrI ,insect,South Africa,Kruger et al 2015,Cicadellidae,Mgenia fuscovaria
807,16SrI C,insect,Russia,Girsova et al 2015,Aphrophoridae,Aphrophora alni
808,16SrI P,insect,Russia,Girsova et al 2015,Aphrophoridae,Aphrophora alni
809,tested negative,insect,Russia,Girsova et al 2015,Cicadellidae,Cicadella viridis
810,tested negative,insect,Russia,Girsova et al 2015,Delphacidae,Euconomelus lepidus
811,16SrIII P,insect,Russia,Girsova et al 2015,Cicadellidae,Euscelis incisa
812,16SrIII O,insect,Russia,Girsova et al 2015,Cicadellidae,Euscelis incisa
813,16SrIII ,insect,Russia,Girsova et al 2015,Cicadellidae,Euscelis incisa
814,not characterized ,insect,Russia,Girsova et al 2015,Aphrophoridae,Lepyronia coleoptrata
815,tested negative,insect,Russia,Girsova et al 2015,Cicadellidae,Notus flavipennis
816,not characterized ,insect,Russia,Girsova et al 2015,Aphrophoridae,Philaenus spumarius
817,16SrIII ,insect,Russia,Girsova et al 2015,Aphrophoridae,Philaenus spumarius
818,16SrIII ,insect,Russia,Girsova et al 2015,Cicadellidae,Sonronius binotatus
819,tested negative,insect,Russia,Girsova et al 2015,Delphacidae,Stenocranus minutus
820,tested negative,insect,Russia,Girsova et al 2015,Cicadellidae,Anoscopus albifrons
821,16SrIII ,insect,Russia,Girsova et al 2015,Cicadellidae,Aphrodes bicinctus
822,16SrXII A,insect,Russia,Girsova et al 2015,Cicadellidae,Aphrodes bicinctus
823,16SrI B,insect,Russia,Girsova et al 2015,Cicadellidae,Balclutha punctata
824,not characterized ,insect,Russia,Girsova et al 2015,Cicadellidae,Cicadula quadripunctata
825,tested negative,insect,Russia,Girsova et al 2015,Cicadellidae,Empoasca solani
826,16SrI ,insect,Russia,Girsova et al 2015,Cicadellidae,Macrosteles laevis
827,16SrI P,insect,Russia,Girsova et al 2015,Cicadellidae,Macrosteles laevis
828,tested negative,insect,Russia,Girsova et al 2015,Cicadellidae,Doratura heterophyla
829,16SrXII A,insect,Russia,Girsova et al 2015,Cicadellidae,Eupteryx atropunctata
830,tested negative,insect,Russia,Girsova et al 2015,Delphacidae,Javesella pellucida
831,tested negative,insect,Russia,Girsova et al 2015,Delphacidae,Laodelphax striatella
832,16SrI ,insect,Russia,Girsova et al 2015,Cicadellidae,Macrosteles sexnotatus
833,16SrVI ,insect,Russia,Girsova et al 2015,Cicadellidae,Macrosteles sexnotatus
834,tested negative,insect,Russia,Girsova et al 2015,Psyllidae,Cacopsylla moscovita
835,tested negative,insect,Russia,Girsova et al 2015,Triozidae,Trioza urticae
836,16SrVI B,insect,India,Azadvar & Baranwal 2012,Cicadellidae,Hishimonus phycitis
837,16SrXI ,insect,India,Rao et al 2014,Cicadellidae,Exitianus indicus
838,tested negative,insect,India,Rao et al 2014,Cicadellidae,Cofana unimaculata
839,tested negative,insect,India,Rao et al 2014,Delphacidae,Sogatella kolophon
840,tested negative,insect,India,Rao et al 2014,Cicadellidae,Hishimonus phycitis
841,16SrIX B,insect,Iran,Salehi et al 2007,Cicadellidae,Neoaliturus fenestratus
842,tested negative,insect,Iran,Salehi et al 2007,Cicadellidae,Neoaliturus haematoceps
843,tested negative,insect,Iran,Salehi et al 2007,Cicadellidae,Empoasca decipiens
844,tested negative,insect,Iran,Salehi et al 2007,Cicadellidae,Orosius orientalis
845,tested negative,insect,Iran,Salehi et al 2007,Cicadellidae,Psammotettix striatus
846,16SrVIII A,insect,Taiwan,Kuan et al 2008,Cicadellidae,Hishimonus concavus
847,16SrXVI A,insect,Cuba,Arocha et al 2005c,Delphacidae,Saccharosydne saccharivora
848,16SrXVI A,insect,Cuba,Arocha et al 2005c,Derbidae,Cedusa sp.
849,16SrI ,insect,California,Severin & Frazier 1945,Cicadellidae,Acinopterus angulatus
850,16SrI B,insect,Piemonte,Galetto et al 2011,Cicadellidae,Empoasca decipiens
851,16SrV C,insect,Piemonte,Galetto et al 2011,Cicadellidae,Empoasca decipiens
852,16SrII ,insect,Saudi Arabia,Alhudaib et al 2009,Cicadellidae,Empoasca decipiens
853,16SrIV ,insect,Kerala,Edwin & Mohankumar 2007,Derbidae,Proutista moesta
854,16SrI B,insect,Czech Republic,Orsagova et al 2011,Cicadellidae,Macrosteles quadripunctulatus
855,16SrI C,insect,Czech Republic,Orsagova et al 2011,Cicadellidae,Hardya tenuis
856,16SrI C,insect,Czech Republic,Orsagova et al 2011,Cicadellidae,Jassargus obtusivalvis
857,16SrI C,insect,Czech Republic,Orsagova et al 2011,Delphacidae,Javesella pellucida
858,16SrI C,insect,Czech Republic,Orsagova et al 2011,Delphacidae,Laodelphax striatella
859,16SrI F,insect,Czech Republic,Orsagova et al 2011,Cicadellidae,Aphrodes bicinctus
860,16SrI F,insect,Czech Republic,Orsagova et al 2011,Cicadellidae,Errastunus ocellaris
861,16SrI F,insect,Czech Republic,Orsagova et al 2011,Cicadellidae,Euscelidius variegatus
862,16SrI F,insect,Czech Republic,Orsagova et al 2011,Cicadellidae,Euscelis incisa
863,16SrI F,insect,Czech Republic,Orsagova et al 2011,Cicadellidae,Hardya tenuis
864,16SrI F,insect,Czech Republic,Orsagova et al 2011,Cicadellidae,Jassargus obtusivalvis
865,16SrI F,insect,Czech Republic,Orsagova et al 2011,Delphacidae,Javesella pellucida
866,16SrI F,insect,Czech Republic,Orsagova et al 2011,Delphacidae,Laodelphax striatella
867,16SrI F,insect,Czech Republic,Orsagova et al 2011,Aphrophoridae,Philaenus spumarius
868,16SrIII B,insect,Czech Republic,Orsagova et al 2011,Cicadellidae,Euscelis incisa
869,16SrIII B,insect,Czech Republic,Orsagova et al 2011,Cicadellidae,Jassargus obtusivalvis
870,16SrXIV ,insect,Czech Republic,Orsagova et al 2011,Cicadellidae,Jassargus obtusivalvis
871,16SrXII A,insect,Czech Republic,Orsagova et al 2011,Cixiidae,Hyalesthes obsoletus
872,16SrI ,insect,Czech Republic,Maramorosch 1963,Cicadellidae,Anoscopus albifrons
873,16SrI ,insect,Czech Republic,Maramorosch 1963,Cicadellidae,Macrosteles cristatus
874,16SrI ,insect,Philippines,Cook & Perfect 1989,Cicadellidae,Maiestas dorsalis
875,16SrXII A,insect,France,Foissac et al 2001,Cixiidae,Cixius wagneri
876,16SrX A,insect,Italy,Tedeschi et al 2002,Psyllidae,Cacopsylla melanoneura
877,16SrIII A,insect,Japan,Namba 1996,Cicadellidae,Scleroracus flavopictus
878,16SrII B,insect,Japan,Namba 1996,Cicadellidae,Orosius orientalis
879,16SrI B,insect,Japan,Jiang et al 2005,Cicadellidae,Tautoneura mori
880,16SrXI A,insect,Japan,Namba 1996,Cicadellidae,Nephotettix cincticeps
881,16SrXI A,insect,Japan,Namba 1996,Cicadellidae,Nephotettix nigropictus
882,16SrI ,insect,Montana,Severin 1940,Cicadellidae,Macrosteles divisus
883,16SrX A,insect,Italy,Tedeschi & Alma 2006,Cicadellidae,Fieberiella florii
884,16SrI ,insect,California,Severin 1945,Cicadellidae,Texananus lathropi
885,16SrI ,insect,California,Severin 1945,Cicadellidae,Texananus latipex
886,16SrI ,insect,California,Severin 1945,Cicadellidae,Texananus oregonus
887,16SrI ,insect,California,Severin 1945,Cicadellidae,Texananus pergrada
888,16SrI ,insect,California,Severin 1945,Cicadellidae,Texananus spatulatus
889,16SrI ,insect,California,Severin 1945,Cicadellidae,Paraphlepsius apertinus
890,16SrIII Z,insect,Brazil,Eckstein et al 2014,Cicadellidae,Agallia albidula
891,16SrIII Z,insect,Brazil,Eckstein et al 2014,Cicadellidae,Agallia cezia
892,16SrIII Z,insect,Brazil,Eckstein et al 2014,Cicadellidae,Agalliana sticticollis
893,16SrIII Z,insect,Brazil,Eckstein et al 2014,Cicadellidae,Atanus nitidus
894,16SrIII Z,insect,Brazil,Eckstein et al 2014,Cicadellidae,Chlorotettix minimus
895,not characterized ,insect,Brazil,Eckstein et al 2014,Cicadellidae,Balclutha frontalis
896,16SrIII Z,insect,Brazil,Eckstein et al 2014,Cicadellidae,Planicephalus flavicosta
897,16SrIII Z,insect,Brazil,Eckstein et al 2014,Cicadellidae,Unerus colonus
898,16SrIII Z,insect,Brazil,Eckstein et al 2014,Cicadellidae,Scaphytopius fuliginosus
899,16SrIII Z,insect,Brazil,Eckstein et al 2014,Cicadellidae,Protalebrella brasiliensis
900,16SrIII Z,insect,Brazil,Eckstein et al 2014,Cicadellidae,Parallaxis donaldsoni
901,16SrIII Z,insect,Brazil,Eckstein et al 2014,Cicadellidae,Empoasca sp.
902,16SrII ,insect,Cuba,Arocha et al 2006b,Cicadellidae,Empoasca sp.
903,16SrII ,insect,Cuba,Arocha et al 2007c,Cicadellidae,Empoasca papayae
904,16SrII P,insect,Cuba,Perez-Lopez et al 2016a,Cicadellidae,Empoasca papayae
905,16SrIV A,insect,Mexico,Narvaez et al 2018,Cixiidae,Haplaxius crudus
906,16SrIV D,insect,Mexico,Narvaez et al 2018,Cixiidae,Haplaxius crudus
907,16SrIV E,insect,Mexico,Narvaez et al 2018,Cixiidae,Haplaxius crudus
908,16SrI ,insect,California,Severin 1947a,Cicadellidae,Acinopterus parallelus
909,16SrI ,insect,California,Severin 1946a,Cicadellidae,Gyponana angulata
910,16SrI ,insect,California,Severin 1934,Cicadellidae,Macrosteles divisus
911,16SrI ,insect,California,Severin 1934,Cicadellidae,Colladonus geminatus
912,16SrI ,insect,California,Severin 1934,Cicadellidae,Colladonus montanus
913,16SrI ,insect,United States,Severin 1947b,Cicadellidae,Fieberiella florii
914,16SrI ,insect,United States,Severin 1947b,Cicadellidae,Chlorotettix similis
915,16SrI ,insect,United States,Severin 1950,Cicadellidae,Excultanus incurvatus
916,16SrIII J,insect,Chile,Hepp & Vargas 2002,Cicadellidae,Paratanus exitiosus
917,16SrIII ,insect,Argentina,Bennett & Munck 1946,Cicadellidae,Paratanus exitiosus
918,16SrI ,insect,Russia,Sukhov & Vovk 1945,Cicadellidae,Macrosteles quadripunctulatus
919,16SrIII A,insect,Illinois,Thornberry 1950,Cicadellidae,Colladonus clitellarius
920,16SrVI ,insect,Netherlands,Maramorosch 1953,Cicadellidae,Euscelis incisa
921,16SrXII A,insect,Czech Republic,Blattny et al 1954,Cicadellidae,Macrosteles cristatus
922,16SrI ,insect,Germany,Heinze & Kunze 1955,Cicadellidae,Macrosteles laevis
923,16SrI ,insect,Netherlands,Evenhuis 1958,Cicadellidae,Anoscopus albifrons
924,16SrI ,insect,England,East Malling Research Station 1960,Cicadellidae,Speudotettix subfusculus
925,16SrV E,insect,England,East Malling Research Station 1961,Cicadellidae,Macropsis scotti
926,16SrI ,insect,England,Posnette & Ellenberger 1963,Cicadellidae,Macrosteles sexnotatus
927,16SrII ,insect,Japan,Shinkai 1964,Cicadellidae,Orosius ryukyuensis
928,16SrII ,insect,Japan,Shinkai 1964,Cicadellidae,Orosius orientalis
929,16SrIII ,insect,United States,Kunkel 1933,Cicadellidae,Macropsidius trimaculatus
930,16SrI ,insect,Japan,Sakai 1937,Cicadellidae,Hishimonus sellatus
931,16SrI ,insect,Germany,Heinze & Kunze 1955,Cicadellidae,Aphrodes bicinctus
932,16SrI ,insect,Netherlands,Evenhuis 1958,Cicadellidae,Aphrodes bicinctus
933,16SrVI ,insect,India,Thomas & Krishnaswami 1939,Cicadellidae,Amrasca biguttula
934,16SrIII A,insect,United States,Anthon & Wolfe 1951,Cicadellidae,Scaphytopius acutus
935,16SrI ,insect,Netherlands,Evenhuis 1958,Cicadellidae,Macrosteles cristatus
936,16SrXII ,insect,Czech Republic,Valenta 1958,Cicadellidae,Macrosteles laevis
937,16SrVI ,insect,Canada,Chiykowski 1964,Cicadellidae,Macrosteles fascifrons
938,16SrI ,insect,California,Severin 1947c,Cicadellidae,Colladonus flavocapitatus
939,16SrI ,insect,California,Severin 1947c,Cicadellidae,Colladonus holmesi
940,16SrI ,insect,California,Severin 1947c,Cicadellidae,Colladonus intricatus
941,16SrI ,insect,California,Severin 1947c,Cicadellidae,Colladonus kirkaldyi
942,16SrI ,insect,California,Severin 1947c,Cicadellidae,Colladonus rupinatus
943,16SrIII ,insect,Ontario,Gilmer & McEwen 1958,Cicadellidae,Fieberiella florii
944,16SrVI ,insect,India,Thomas & Krishnaswami 1939,Cicadellidae,Hishimonus phycitis
945,16SrI ,insect,California,Severin 1948,Cicadellidae,Idiodonus sp.
946,16SrXI ,insect,Japan,Nasu 1963,Cicadellidae,Nephotettix virescens
947,16SrXI ,insect,Japan,Nasu 1963,Cicadellidae,Nephotettix apicalis
948,16SrI ,insect,Japan,Vasudeva & Sahambi 1955,Cicadellidae,Orosius orientalis
949,16SrII ,insect,Japan,Fukushi et al 1955,Cicadellidae,Scleroracus flavopictus
950,16SrIII ,insect,United States,Dobroscky 1929,Cicadellidae,Scleroracus vacciini
951,16SrXXII B,insect,Côte d'Ivoire,Kwadjo et al 2018,Cicadellidae,Nedotepa curta
952,16SrI ,insect,Côte d'Ivoire,Kwadjo et al 2018,Cicadellidae,Nedotepa curta
953,16SrXI ,insect,Japan,Takata 1895,Cicadellidae,Maiestas dorsalis
954,16SrXI ,insect,Japan,Fukushi 1933,Cicadellidae,Nephotettix cincticeps
955,16SrVI A,insect,Mexico,Sala-Munoz et al 2018,Cicadellidae,Ceratagallia nitidula
956,16SrVI A,insect,Mexico,Sala-Munoz et al 2018,Cicadellidae,Empoasca abrupta
957,not characterized ,insect,Australia,Grylls 1954,Cicadellidae,Austroagallia torrida
958,16SrIII B,insect,Serbia,Jakovljevic et al 2015,Cicadellidae,Euscelis incisa
959,16SrXI A,insect,Taiwan,Edison et al 1976,Derbidae,Proutista moesta
960,16SrI ,insect,United States,Kunkel 1924,Cicadellidae,Macrosteles quadrilineatus
961,16SrII ,insect,Australia,Hill 1937,Cicadellidae,Orosius argentatus
962,16SrI ,insect,California,Severin 1929,Cicadellidae,Macrosteles quadrilineatus
963,16SrV C,insect,France,Papura et al 2009,Cicadellidae,Scaphoideus titanus
964,16SrV C,insect,Croatia,Seruga Music et al 2012,Cicadellidae,Scaphoideus titanus
965,16SrIV ,insect,Madang,Lu et al 2016,Flatidae,species 1
966,16SrIV ,insect,Madang,Lu et al 2016,Ricaniidae,species 2
967,tested negative,insect,Madang,Lu et al 2016,Derbidae,species 2
968,tested negative,insect,Madang,Lu et al 2016,Derbidae,species 1
969,16SrXII ,plant,Italy,Ferretti et al 2010,Convolvulaceae,Convolvulus arvensis
970,16SrV C,plant,Croatia,Seruga Music et al 2011,Vitaceae,Vitis vinifera
971,16SrV ,plant,Croatia,Seruga Music et al 2009,Ranunculaceae,Clematis vitalba
972,16SrXII A,plant,Croatia,Seruga Music et al 2009,Vitaceae,Vitis vinifera
973,16SrXII A,plant,Croatia,Seruga et al 2000,Vitaceae,Vitis vinifera
